UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
0,M0,H,300.0970432558897,310.17681377258367,1364.8925633791978,45.0024046943657,198,1.0,Heat Dissipation Failure
1,M1,L,298.33809976717794,312.9550601621105,1367.754204325643,34.66399693560833,159,0.0,No Failure
2,M2,H,300.54091365155966,307.716621771733,1548.1866061718492,52.20821298813048,131,0.0,No Failure
3,M3,H,299.8995237811017,309.61268108144054,1554.7264797377966,31.232262187881553,19,0.0,No Failure
4,M4,L,299.5221039062672,308.5663553587944,1554.8883835317365,57.120402840178926,241,0.0,No Failure
5,M5,L,298.1848726759168,306.2669267658539,1474.5044206446303,22.523634901717383,116,0.0,No Failure
6,M6,H,298.84645733886333,309.8346386283146,1487.45457399971,44.347700645568914,163,1.0,Random Failure
7,M7,M,301.5107824516515,309.7565049832334,1532.7879524159357,44.754306825266234,31,1.0,Power Failure
8,M8,H,301.00183437524873,313.02689948648424,1508.5893006293331,32.04442932059118,27,0.0,No Failure
9,M9,H,298.0448895104029,311.26162336910954,1278.0699627252466,44.24393937861012,76,0.0,No Failure
10,M10,H,300.19866461085843,307.9516263513416,1477.0200369424806,52.795186697601586,0,1.0,Tool Wear Failure
11,M11,H,301.50277424674357,313.7081851326684,1414.8593565739686,17.831811606459354,187,0.0,No Failure
12,M12,L,296.66118943775723,312.4420673910507,1517.5211418908511,45.02744807490814,55,0.0,No Failure
13,M13,H,301.0867203847599,311.1641954069372,1798.5259002603411,15.067291796699223,34,0.0,No Failure
14,M14,M,298.6747524821083,309.54703180230035,1536.7481665474304,30.34335196476792,111,1.0,Overstrain Failure
15,M15,L,301.1411973371863,308.08112152655303,1468.6470313827601,56.29166364900945,29,0.0,No Failure
16,M16,M,298.47348168691497,309.2555864478579,1592.1801501977252,34.18217966607946,53,0.0,No Failure
17,M17,M,296.390235798671,312.17749723940835,1548.2687887209213,28.261200355910276,35,1.0,Tool Wear Failure
18,M18,M,296.74491512423367,313.76917261186924,1542.009449045184,38.020622710153184,248,1.0,Tool Wear Failure
19,M19,M,300.0961698933228,313.0864870565444,1560.685059321567,60.67906338163552,182,1.0,Tool Wear Failure
20,M20,L,300.51944500344297,309.02230115642743,1705.6543564829542,21.68317752793974,216,0.0,No Failure
21,M21,L,298.1913667497912,307.76076513342196,1386.9111564674085,29.486900883606555,79,0.0,No Failure
22,M22,M,301.27718491755473,310.2817724938224,1547.3632076811455,54.974316831796266,57,1.0,Heat Dissipation Failure
23,M23,M,296.6769598754621,306.4631212688743,1407.361887001846,58.57702343537733,82,1.0,Power Failure
24,M24,L,299.8678404027054,310.6463354283696,1555.551264634225,38.96568775709716,64,0.0,No Failure
25,M25,L,297.57796760047506,309.7047948274027,1408.1313488513906,27.609472974733578,68,0.0,No Failure
26,M26,L,298.6963277843957,309.0679269962635,1458.2633186394917,60.95843501809159,127,1.0,Power Failure
27,M27,H,300.09479734263283,306.8105938654664,1470.4910085762094,55.94442391749197,50,1.0,Heat Dissipation Failure
28,M28,H,298.2791732694321,311.02720021313945,1597.581671934471,46.78946987762233,21,0.0,No Failure
29,M29,H,299.2308889115404,308.9345983206762,1591.8454443942414,31.875976510625797,215,0.0,No Failure
30,M30,M,302.0125856184289,307.6601663285794,1375.4282623553615,39.50970659161963,106,0.0,No Failure
31,M31,H,298.8462162609537,304.2554755734367,1505.4934110999848,38.396399189551694,108,0.0,No Failure
32,M32,M,301.6713842241303,309.94497018989875,1429.0420145250828,43.30851304615578,115,0.0,No Failure
33,M33,M,297.74058629068475,313.5445031933395,1374.1495089324665,54.51001438131336,100,0.0,No Failure
34,M34,H,301.05960835583056,313.32251842909574,1478.298294957563,48.79417041137403,180,0.0,No Failure
35,M35,M,302.8831372413158,309.08580748682743,1469.151721154418,29.226239230152416,99,0.0,No Failure
36,M36,H,295.0567109997454,308.79557587927644,1742.6716486345522,53.764964500195376,163,0.0,No Failure
37,M37,H,298.40620948905905,310.93754851215004,1543.2959825360697,43.131321400131554,67,1.0,Overstrain Failure
38,M38,L,301.1541442543611,308.0032291216234,1362.2382499245764,46.87065795858916,35,0.0,No Failure
39,M39,H,299.593909227914,310.60358379963895,1443.5225995829057,54.66540859278603,179,0.0,No Failure
40,M40,L,300.74229174674264,311.5321605567694,1602.1383295429398,28.88419750486449,180,1.0,Tool Wear Failure
41,M41,H,298.79202962656836,312.45386644776863,1708.8442772869926,39.64174421293537,209,0.0,No Failure
42,M42,H,300.1731795749458,309.7996918470401,1341.4016687762041,34.68545448640785,177,1.0,Random Failure
43,M43,L,299.6886455292158,309.5926524996461,1312.0075614860955,24.32140574634544,207,1.0,Overstrain Failure
44,M44,L,302.3355641233196,308.2440348264869,1687.0965175371782,43.467099776049196,168,0.0,No Failure
45,M45,H,300.5088416866024,308.34623929192026,1538.9614177370904,65.11556551584424,145,1.0,Random Failure
46,M46,M,300.6752053241504,309.5470422161969,1413.1707268123635,21.59922255494247,21,0.0,No Failure
47,M47,L,299.1762460677551,310.73473101363237,1553.4629086122436,39.6771938895053,65,0.0,No Failure
48,M48,M,299.024787551855,311.8271692524665,1236.4252260983121,46.40542935074774,20,0.0,No Failure
49,M49,M,299.1348836243608,308.3936420986393,1500.337550659716,41.23078201656181,99,0.0,No Failure
50,M50,M,300.7889042847566,312.98537713791904,1532.7821172843085,38.86871947484259,127,1.0,Tool Wear Failure
51,M51,L,299.15803103835947,309.45775279791485,1592.427013953783,27.007836365541756,43,0.0,No Failure
52,M52,M,300.5795497137928,309.9572654113031,1398.6104047707463,42.327867429401635,102,0.0,No Failure
53,M53,L,304.15080159729087,308.50557664170435,1508.568716140336,32.43236022984074,46,0.0,No Failure
